character,unicode,mc,pu,ct,kr,vn,jp_go,jp_kan,jp_tou,jp_kwan,jp_other
"一","4E00","qjit","yi1","jat1","il","nhaats","*iti*","*itu*",,,
"丁","4E01","treng,teng","ding1,zheng1","ding1,zaang1(zang1)","jeong","ddinh,cheenh,tranhf","[1]*tyou(tyau)*[2]*tyou(tyau)*","[1]*tei*[2]tou(tau)",,,
"丂","4E02","khaux","kao3,qiao3,yu2",,"gyo","khaor","[1]kou(kau)[2]/kyou(keu)/","[1]kou(kau)[2]kou(kau)",,,
"七","4E03","chit","qi1","cat1","chil","thaats","*siti*","/situ/",,,
"丄","4E04","zjangx,zjangh","shang4",,"sang",,"*zyou(zyau)*","*syou(syau)*",,,
"丅","4E05","ghrax","xia4",,"ha",,"*ge*","*ka*",,,
"丆","4E06",,"han3",,"myeon",,,,,,
"万","4E07","myanh,mok","wan4,mo4","maan6,mak6(maak6)","man","vanj,mawcj","/moku/","boku",,,
"丈","4E08","driangx","zhang4","zoeng6","jang","truwowngj","*zyou(dyau)*","/tyou(tyau)/",,,
"三","4E09","sam,samh","san1","saam1,saam3","sam","tam,tams","*san(samu)*","*san(samu)*",,,
"上","4E0A","zjangx,zjangh","shang4,shang3","soeng6,soeng5","sang","thuwowngj,thuwowngs","*zyou(zyau)*","*syou(syau)*",,,
"下","4E0B","ghrax,ghrah","xia4","haa6,haa5","ha","haj,has","*ge*","*ka*",,,
"丌","4E0C","ki","qi2,ji1","gei1,kei4","gi",,"[1]/ko/[2]/go/,/gi/","[1]ki[2]ki",,,
"不","4E0D","piu,piux,pyot","bu4,fou3","bat1,fau2","bu,bul","baats,phaauf,phur,phi","[1]/hoti/[2]*hu*","[1]/hutu/[2]/huu/",,"[1]*hu*,*bu*",
"与","4E0E","jox","yu3,yu4,yu2","jyu5,jyu4,jyu6","yeo","duwx,duwj,duw","*yo*","*yo*",,,
"丏","4E0F","menx","mian3","min5","myeon","dieenx,cais","men","/ben/",,,
"丐","4E10","kad,kat","gai4","koi3(goi3)","gae","cais","kai","kai",,,
"丑","4E11","thriux","chou3","cau2","chuk,chu","suwur,xus","tyuu(tiu)","tyuu(tiu)",,,
"丒","4E12",,"chou3",,"chuk",,"tyuu(tiu)","tyuu(tiu)",,,
"专","4E13",,"zhuan1",,"jeon,dan","chuyeen",,,,,
